election,election_date,locality,precinct,Early Voting,Election Day,Mailed Absentee,Provisional,Post-Election,TotalVoteTurnout,ActiveRegisteredVoters,InactiveRegisteredVoters,TotalRegisteredVoters
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,601 - DALE,273,844,143,33,18,1311,3249,175,3424
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,602 - BEVILLE,471,1119,229,36,30,1885,3774,177,3951
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,603 - HAMPTON,413,837,165,40,24,1479,3091,262,3353
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,604 - GAR-FIELD,405,586,187,36,21,1235,2688,173,2861
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,605 - MINNIEVILLE,269,549,143,15,10,986,2075,123,2198
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,606 - BEL AIR,333,848,154,30,25,1390,3096,145,3241
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,607 - HILLENDALE,259,594,138,25,13,1029,2255,159,2414
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,608 - ENTERPRISE,532,1108,207,20,37,1904,3879,173,4052
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,609 - KING,339,601,187,17,32,1176,2299,100,2399
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,610 - FITZGERALD,431,992,174,35,17,1649,3456,264,3720
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,611 - NEABSCO,397,994,181,20,40,1632,3452,279,3731
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,612 - ELM FARM,324,534,148,30,21,1057,2105,108,2213
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,613 - HOADLY,143,254,43,9,4,453,823,44,867
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,614 - ROSA PARKS,414,927,200,35,29,1605,3292,227,3519
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,615 - COMMONS,55,84,15,6,1,161,385,42,427
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,616 - MARKHAM,151,233,25,12,5,426,1003,79,1082
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,701 - BELMONT,628,971,254,21,29,1903,3590,398,3988
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,702 - LIBRARY,540,916,200,28,38,1722,3424,442,3866
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,703 - LYNN,195,546,103,30,22,896,2569,260,2829
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,704 - PORTER,301,842,138,25,30,1336,3286,370,3656
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,705 - POTOMAC VIEW,216,628,95,12,16,967,2366,129,2495
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,706 - RIPPON,474,995,200,31,36,1736,3711,261,3972
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,707 - KILBY,259,863,152,44,21,1339,3257,233,3490
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,708 - RIVER OAKS,479,955,198,39,26,1697,3511,350,3861
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,709 - FREEDOM,446,706,169,24,11,1356,2877,283,3160
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,710 - POWELLS CREEK,473,774,166,38,21,1472,3287,386,3673
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,711 - GRAYSON,311,837,146,37,23,1354,3347,280,3627
2025 November General,11/4/2025 0:00,PRINCE WILLIAM COUNTY,712 - LEESYLVANIA,664,892,238,15,21,1830,3090,159,3249
2025 November General,11/4/2025 0:00,PULASKI COUNTY,101 - BELSPRING,93,387,33,1,,514,913,12,925
2025 November General,11/4/2025 0:00,PULASKI COUNTY,102 - NEW RIVER,487,1067,190,11,1,1756,2980,92,3072
2025 November General,11/4/2025 0:00,PULASKI COUNTY,103 - WEST CLOYD,131,359,44,5,1,540,985,24,1009
2025 November General,11/4/2025 0:00,PULASKI COUNTY,201 - DRAPER,366,610,39,3,,1018,1688,41,1729
2025 November General,11/4/2025 0:00,PULASKI COUNTY,202 - SOUTH PULASKI,62,87,12,3,,164,460,22,482
2025 November General,11/4/2025 0:00,PULASKI COUNTY,203 - NEWBERN,487,837,116,10,5,1455,2766,75,2841
2025 November General,11/4/2025 0:00,PULASKI COUNTY,301 - DUBLIN,584,950,128,9,3,1674,2910,75,2985
2025 November General,11/4/2025 0:00,PULASKI COUNTY,302 - HIWASSEE,50,234,20,3,,307,571,14,585
2025 November General,11/4/2025 0:00,PULASKI COUNTY,304 - SNOWVILLE,191,605,57,5,,858,1373,28,1401
2025 November General,11/4/2025 0:00,PULASKI COUNTY,402 - WALKER,158,385,25,1,2,571,993,21,1014
2025 November General,11/4/2025 0:00,PULASKI COUNTY,403 - WEST MASSIE,470,653,107,6,1,1237,2783,121,2904
2025 November General,11/4/2025 0:00,PULASKI COUNTY,404 - EAST MASSIE,182,204,47,3,1,437,748,9,757
2025 November General,11/4/2025 0:00,PULASKI COUNTY,501 - ROBINSON,807,1030,192,15,5,2049,4427,130,4557
2025 November General,11/4/2025 0:00,RADFORD CITY,001 - EAST PRECINCT,277,528,54,56,2,917,2205,361,2566
2025 November General,11/4/2025 0:00,RADFORD CITY,002 - CENTRAL PRECINCT,609,721,100,7,4,1441,2244,109,2353
2025 November General,11/4/2025 0:00,RADFORD CITY,003 - WEST PRECINCT,668,748,111,7,1,1535,2674,164,2838
2025 November General,11/4/2025 0:00,RADFORD CITY,004 - NEW RIVER PRECINCT,198,468,52,100,3,821,1811,257,2068
2025 November General,11/4/2025 0:00,RAPPAHANNOCK COUNTY,101 - WASHINGTON,329,407,68,2,,806,1236,65,1301
2025 November General,11/4/2025 0:00,RAPPAHANNOCK COUNTY,201 - AMISSVILLE,234,581,60,3,,878,1396,34,1430
2025 November General,11/4/2025 0:00,RAPPAHANNOCK COUNTY,301 - SPERRYVILLE,252,467,82,1,1,803,1127,39,1166
2025 November General,11/4/2025 0:00,RAPPAHANNOCK COUNTY,401 - SCRABBLE,257,434,87,4,4,786,1187,50,1237
2025 November General,11/4/2025 0:00,RAPPAHANNOCK COUNTY,501 - CHESTER GAP,27,290,13,3,,333,551,27,578
2025 November General,11/4/2025 0:00,RAPPAHANNOCK COUNTY,502 - FLINT HILL,149,262,40,1,,452,667,30,697
2025 November General,11/4/2025 0:00,RICHMOND CITY,101 - ONE HUNDRED ONE,111,354,21,154,2,642,1372,316,1688
2025 November General,11/4/2025 0:00,RICHMOND CITY,102 - ONE HUNDRED TWO,273,625,52,9,11,970,1336,42,1378
2025 November General,11/4/2025 0:00,RICHMOND CITY,104 - ONE HUNDRED FOUR,403,1020,69,8,17,1517,2018,45,2063
2025 November General,11/4/2025 0:00,RICHMOND CITY,105 - ONE HUNDRED FIVE,376,873,84,7,16,1356,1759,110,1869
2025 November General,11/4/2025 0:00,RICHMOND CITY,106 - ONE HUNDRED SIX,494,968,78,18,35,1593,2117,49,2166
2025 November General,11/4/2025 0:00,RICHMOND CITY,111 - ONE HUNDRED ELEVEN,337,898,70,20,32,1357,1777,55,1832
2025 November General,11/4/2025 0:00,RICHMOND CITY,112 - ONE HUNDRED TWELVE,337,727,66,26,22,1178,1559,73,1632
2025 November General,11/4/2025 0:00,RICHMOND CITY,113 - ONE HUNDRED THIRTEEN,476,1443,124,43,37,2123,2889,167,3056
2025 November General,11/4/2025 0:00,RICHMOND CITY,114 - ONE HUNDRED FOURTEEN,576,1406,124,47,52,2205,2937,154,3091
2025 November General,11/4/2025 0:00,RICHMOND CITY,115 - ONE HUNDRED FIFTEEN,222,796,52,9,31,1110,1535,73,1608
2025 November General,11/4/2025 0:00,RICHMOND CITY,204 - TWO HUNDRED FOUR,315,951,74,44,26,1410,2183,140,2323
2025 November General,11/4/2025 0:00,RICHMOND CITY,206 - TWO HUNDRED SIX,195,501,59,116,14,885,1459,127,1586
2025 November General,11/4/2025 0:00,RICHMOND CITY,207 - TWO HUNDRED SEVEN,459,1239,122,45,22,1887,2572,181,2753
2025 November General,11/4/2025 0:00,RICHMOND CITY,208 - TWO HUNDRED EIGHT,478,1351,108,73,38,2048,2839,168,3007
2025 November General,11/4/2025 0:00,RICHMOND CITY,213 - TWO HUNDRED THIRTEEN,290,1078,102,215,43,1728,3188,285,3473
2025 November General,11/4/2025 0:00,RICHMOND CITY,214 - TWO HUNDRED FOURTEEN,119,798,40,482,14,1453,2464,222,2686
2025 November General,11/4/2025 0:00,RICHMOND CITY,215 - TWO HUNDRED FIFTEEN,430,1250,131,81,50,1942,3408,287,3695
2025 November General,11/4/2025 0:00,RICHMOND CITY,216 - TWO HUNDRED SIXTEEN,41,271,7,83,4,406,775,57,832
2025 November General,11/4/2025 0:00,RICHMOND CITY,301 - THREE HUNDRED ONE,204,404,61,18,6,693,1520,118,1638
2025 November General,11/4/2025 0:00,RICHMOND CITY,302 - THREE HUNDRED TWO,330,478,58,16,8,890,1492,105,1597
2025 November General,11/4/2025 0:00,RICHMOND CITY,303 - THREE HUNDRED THREE,274,510,52,6,10,852,1244,54,1298
2025 November General,11/4/2025 0:00,RICHMOND CITY,304 - THREE HUNDRED FOUR,353,856,95,11,21,1336,2349,146,2495
2025 November General,11/4/2025 0:00,RICHMOND CITY,305 - THREE HUNDRED FIVE,364,859,99,43,18,1383,2291,153,2444
2025 November General,11/4/2025 0:00,RICHMOND CITY,306 - THREE HUNDRED SIX,145,359,50,69,10,633,1493,186,1679
2025 November General,11/4/2025 0:00,RICHMOND CITY,307 - THREE HUNDRED SEVEN,1174,1136,206,28,27,2571,3429,160,3589
2025 November General,11/4/2025 0:00,RICHMOND CITY,308 - THREE HUNDRED EIGHT,594,670,96,11,12,1383,1770,101,1871
2025 November General,11/4/2025 0:00,RICHMOND CITY,309 - THREE HUNDRED NINE,279,308,40,11,10,648,916,79,995
2025 November General,11/4/2025 0:00,RICHMOND CITY,310 - THREE HUNDRED TEN,26,158,,10,14,208,948,88,1036
2025 November General,11/4/2025 0:00,RICHMOND CITY,311 - THREE HUNDRED ELEVEN,96,351,22,55,5,529,916,64,980
2025 November General,11/4/2025 0:00,RICHMOND CITY,402 - FOUR HUNDRED TWO,776,1689,211,28,42,2746,3402,99,3501
2025 November General,11/4/2025 0:00,RICHMOND CITY,404 - FOUR HUNDRED FOUR,354,930,124,14,27,1449,2430,168,2598
2025 November General,11/4/2025 0:00,RICHMOND CITY,409 - FOUR HUNDRED NINE,437,907,198,13,26,1581,1961,67,2028
2025 November General,11/4/2025 0:00,RICHMOND CITY,410 - FOUR HUNDRED TEN,367,861,139,13,21,1401,2187,198,2385
2025 November General,11/4/2025 0:00,RICHMOND CITY,412 - FOUR HUNDRED TWELVE,372,1001,141,54,28,1596,2702,213,2915
2025 November General,11/4/2025 0:00,RICHMOND CITY,413 - FOUR HUNDRED THIRTEEN,463,855,124,8,30,1480,1902,48,1950
2025 November General,11/4/2025 0:00,RICHMOND CITY,414 - FOUR HUNDRED FOURTEEN,485,993,158,14,22,1672,2124,56,2180
2025 November General,11/4/2025 0:00,RICHMOND CITY,415 - FOUR HUNDRED FIFTEEN,382,858,166,18,17,1441,2076,106,2182
2025 November General,11/4/2025 0:00,RICHMOND CITY,501 - FIVE HUNDRED ONE,509,1180,152,55,28,1924,2630,118,2748
2025 November General,11/4/2025 0:00,RICHMOND CITY,503 - FIVE HUNDRED THREE,431,1125,180,47,48,1831,2714,128,2842
2025 November General,11/4/2025 0:00,RICHMOND CITY,504 - FIVE HUNDRED FOUR,390,1334,128,107,31,1990,3229,247,3476
2025 November General,11/4/2025 0:00,RICHMOND CITY,505 - FIVE HUNDRED FIVE,140,932,,330,76,1478,2417,218,2635
2025 November General,11/4/2025 0:00,RICHMOND CITY,508 - FIVE HUNDRED EIGHT,196,682,54,8,16,956,1324,57,1381
2025 November General,11/4/2025 0:00,RICHMOND CITY,509 - FIVE HUNDRED NINE,240,633,74,20,19,986,2095,204,2299
2025 November General,11/4/2025 0:00,RICHMOND CITY,510 - FIVE HUNDRED TEN,362,999,137,31,32,1561,2661,165,2826
2025 November General,11/4/2025 0:00,RICHMOND CITY,602 - SIX HUNDRED TWO,100,415,62,17,10,604,2226,197,2423
2025 November General,11/4/2025 0:00,RICHMOND CITY,603 - SIX HUNDRED THREE,180,524,54,6,10,774,1526,95,1621
2025 November General,11/4/2025 0:00,RICHMOND CITY,604 - SIX HUNDRED FOUR,178,622,49,9,21,879,1703,111,1814
2025 November General,11/4/2025 0:00,RICHMOND CITY,606 - SIX HUNDRED SIX,420,825,84,14,25,1368,2449,246,2695
2025 November General,11/4/2025 0:00,RICHMOND CITY,607 - SIX HUNDRED SEVEN,284,798,1,69,132,1284,2438,307,2745
2025 November General,11/4/2025 0:00,RICHMOND CITY,609 - SIX HUNDRED NINE,275,920,94,66,27,1382,2981,359,3340
2025 November General,11/4/2025 0:00,RICHMOND CITY,610 - SIX HUNDRED TEN,165,413,58,12,11,659,1953,186,2139
2025 November General,11/4/2025 0:00,RICHMOND CITY,611 - SIX HUNDRED ELEVEN,238,787,73,36,22,1156,2152,250,2402
2025 November General,11/4/2025 0:00,RICHMOND CITY,701 - SEVEN HUNDRED ONE,98,419,46,11,10,584,1706,208,1914
2025 November General,11/4/2025 0:00,RICHMOND CITY,702 - SEVEN HUNDRED TWO,261,736,82,26,19,1124,2251,150,2401
2025 November General,11/4/2025 0:00,RICHMOND CITY,703 - SEVEN HUNDRED THREE,292,1020,96,43,24,1475,2529,153,2682
2025 November General,11/4/2025 0:00,RICHMOND CITY,705 - SEVEN HUNDRED FIVE,327,934,67,25,32,1385,1974,170,2144
2025 November General,11/4/2025 0:00,RICHMOND CITY,706 - SEVEN HUNDRED SIX,374,1316,109,47,36,1882,3418,306,3724
2025 November General,11/4/2025 0:00,RICHMOND CITY,707 - SEVEN HUNDRED SEVEN,630,1610,180,38,58,2516,3647,261,3908
2025 November General,11/4/2025 0:00,RICHMOND CITY,708 - SEVEN HUNDRED EIGHT,153,719,56,52,22,1002,1976,266,2242
2025 November General,11/4/2025 0:00,RICHMOND CITY,709 - SEVEN HUNDRED NINE,186,584,58,39,16,883,1568,149,1717
2025 November General,11/4/2025 0:00,RICHMOND CITY,802 - EIGHT HUNDRED TWO,199,632,60,30,19,940,1900,159,2059
2025 November General,11/4/2025 0:00,RICHMOND CITY,806 - EIGHT HUNDRED SIX,438,487,61,13,16,1015,2394,160,2554
2025 November General,11/4/2025 0:00,RICHMOND CITY,810 - EIGHT HUNDRED TEN,275,429,54,10,8,776,1649,188,1837
2025 November General,11/4/2025 0:00,RICHMOND CITY,811 - EIGHT HUNDRED ELEVEN,234,621,70,22,9,956,2477,269,2746
2025 November General,11/4/2025 0:00,RICHMOND CITY,812 - EIGHT HUNDRED TWELVE,629,866,104,19,14,1632,2961,111,3072
2025 November General,11/4/2025 0:00,RICHMOND CITY,814 - EIGHT HUNDRED FOURTEEN,324,344,45,22,8,743,1408,104,1512
2025 November General,11/4/2025 0:00,RICHMOND CITY,902 - NINE HUNDRED TWO,112,209,22,7,5,355,860,55,915
2025 November General,11/4/2025 0:00,RICHMOND CITY,903 - NINE HUNDRED THREE,347,588,74,19,10,1038,2221,139,2360
2025 November General,11/4/2025 0:00,RICHMOND CITY,908 - NINE HUNDRED EIGHT,232,646,92,40,22,1032,2293,353,2646
2025 November General,11/4/2025 0:00,RICHMOND CITY,909 - NINE HUNDRED NINE,366,676,123,23,13,1201,2258,207,2465
2025 November General,11/4/2025 0:00,RICHMOND CITY,910 - NINE HUNDRED TEN,380,544,93,24,14,1055,2182,172,2354
2025 November General,11/4/2025 0:00,RICHMOND CITY,911 - NINE HUNDRED ELEVEN,327,569,81,6,7,990,1808,140,1948
2025 November General,11/4/2025 0:00,RICHMOND COUNTY,101 - PRECINCT 1-1,269,335,15,2,1,622,1218,41,1259
2025 November General,11/4/2025 0:00,RICHMOND COUNTY,201 - PRECINCT 2-1,192,298,13,6,,509,947,25,972
2025 November General,11/4/2025 0:00,RICHMOND COUNTY,301 - PRECINCT 3-1,322,309,35,3,1,670,1149,20,1169
2025 November General,11/4/2025 0:00,RICHMOND COUNTY,401 - PRECINCT 4-1,231,423,24,2,1,681,1214,26,1240
2025 November General,11/4/2025 0:00,RICHMOND COUNTY,501 - PRECINCT 5-1,222,421,13,0,,656,1121,28,1149
2025 November General,11/4/2025 0:00,ROANOKE CITY,001 -Peters Creek,587,610,165,17,6,1385,3069,307,3376
2025 November General,11/4/2025 0:00,ROANOKE CITY,002 - Grandview,444,710,130,9,9,1302,2851,233,3084
2025 November General,11/4/2025 0:00,ROANOKE CITY,003 -Preston Park,399,794,107,16,7,1323,2917,193,3110
2025 November General,11/4/2025 0:00,ROANOKE CITY,004 - Williamson Road,459,776,109,15,9,1368,2966,201,3167
2025 November General,11/4/2025 0:00,ROANOKE CITY,005 - East Gate,641,915,146,16,16,1734,3452,207,3659
2025 November General,11/4/2025 0:00,ROANOKE CITY,006 - Hollins Road,455,586,128,13,12,1194,3306,295,3601
2025 November General,11/4/2025 0:00,ROANOKE CITY,007 - Southeast,344,692,117,24,13,1190,3125,275,3400
2025 November General,11/4/2025 0:00,ROANOKE CITY,008 - Lincoln Terrace,371,496,113,26,13,1019,2937,292,3229
2025 November General,11/4/2025 0:00,ROANOKE CITY,009 - Highland,485,860,121,36,19,1521,3814,610,4424
2025 November General,11/4/2025 0:00,ROANOKE CITY,010 - Old Southwest-Wasena,690,1078,167,31,10,1976,3403,312,3715
2025 November General,11/4/2025 0:00,ROANOKE CITY,011 - RALEIGH COURT,753,1213,175,20,19,2180,3274,198,3472
2025 November General,11/4/2025 0:00,ROANOKE CITY,012 - SOUTH ROANOKE,695,889,195,17,15,1811,2753,132,2885
2025 November General,11/4/2025 0:00,ROANOKE CITY,013 - GARDEN CITY,450,854,119,15,8,1446,3117,202,3319
2025 November General,11/4/2025 0:00,ROANOKE CITY,014 - Crystal Spring,704,884,168,20,25,1801,2993,275,3268
2025 November General,11/4/2025 0:00,ROANOKE CITY,015 - Grandin Court,658,999,205,14,10,1886,2684,133,2817
2025 November General,11/4/2025 0:00,ROANOKE CITY,016 - Deyerle,690,1056,293,18,19,2076,2833,108,2941
2025 November General,11/4/2025 0:00,ROANOKE CITY,017 - LEE-HI,607,1231,235,24,25,2122,3671,212,3883
2025 November General,11/4/2025 0:00,ROANOKE CITY,018 - Summit Hills,525,744,136,17,13,1435,2809,148,2957
2025 November General,11/4/2025 0:00,ROANOKE CITY,019 - Forest Park,407,606,140,10,10,1173,3422,362,3784
2025 November General,11/4/2025 0:00,ROANOKE CITY,020 - EUREKA PARK,536,621,159,8,15,1339,3136,238,3374
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,101 - CATAWBA,321,1227,76,5,6,1635,2650,57,2707
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,102 - RICHFIELD,382,827,150,10,5,1374,2323,71,2394
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,103 - NORTH GLENVAR,345,944,119,5,11,1424,2211,51,2262
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,104 - NORTHSIDE,415,884,111,7,6,1423,2436,79,2515
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,105 - HANGING ROCK,495,850,142,8,4,1499,2578,103,2681
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,106 - SOUTH GLENVAR,209,501,78,1,4,793,1296,28,1324
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,107 - FORT LEWIS,308,508,135,4,19,974,1503,31,1534
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,201 - PLANTATION,345,771,120,7,14,1257,2283,71,2354
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,202 - BURLINGTON,183,609,65,8,7,872,1818,98,1916
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,203 - MOUNTAIN VIEW,631,1209,146,8,5,1999,3202,88,3290
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,204 - GREEN RIDGE,446,858,113,20,11,1448,2398,105,2503
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,205 - ORCHARDS,825,920,181,25,9,1960,2962,96,3058
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,206 - HOLLINS,148,488,47,21,13,717,1373,63,1436
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,301 - BENT MOUNTAIN,90,358,15,4,1,468,734,12,746
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,302 - BACK CREEK,988,953,184,16,10,2151,3116,118,3234
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,303 - WINDSOR HILLS,540,666,85,10,10,1311,2400,172,2572
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,304 - OAK GROVE,793,654,152,11,12,1622,2366,76,2442
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,305 - EAST HIDDEN VALLEY,747,504,144,5,11,1411,2052,73,2125
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,306 - GARST MILL,660,526,111,8,5,1310,2119,97,2216
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,307 - WEST HIDDEN VALLEY,644,453,133,7,6,1243,1868,62,1930
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,401 - BONSACK,409,459,69,2,2,941,1429,33,1462
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,402 - NORTH LINDENWOOD,727,577,91,4,1,1400,2239,56,2295
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,403 - NORTH VINTON,481,774,68,12,3,1338,2739,110,2849
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,404 - SOUTH VINTON,545,599,74,7,26,1251,2590,85,2675
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,405 - SOUTH LINDENWOOD,586,498,93,4,2,1183,2025,37,2062
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,406 - MOUNT PLEASANT,562,988,113,14,12,1689,2866,78,2944
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,501 - STARKEY,505,598,123,6,7,1239,1877,58,1935
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,502 - WEST CAVE SPRING,557,598,98,5,10,1268,1885,71,1956
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,503 - EAST CAVE SPRING,483,702,108,9,3,1305,2095,86,2181
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,504 - GREEN VALLEY,597,935,115,24,8,1679,3304,232,3536
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,505 - CLEARBROOK,249,570,71,3,3,896,1620,47,1667
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,506 - BUCK MOUNTAIN,114,209,25,,2,350,528,15,543
2025 November General,11/4/2025 0:00,ROANOKE COUNTY,507 - HUNTING HILLS,745,766,170,5,11,1697,2875,136,3011
2025 November General,11/4/2025 0:00,ROCKBRIDGE COUNTY,101 - AIRPORT,570,502,104,3,2,1181,1713,25,1738
2025 November General,11/4/2025 0:00,ROCKBRIDGE COUNTY,102 - BEN SALEM,150,257,16,1,2,426,671,20,691
2025 November General,11/4/2025 0:00,ROCKBRIDGE COUNTY,103 - PLANK ROAD,118,233,13,2,,366,549,14,563
2025 November General,11/4/2025 0:00,ROCKBRIDGE COUNTY,104 - EFFINGER,121,273,14,2,,410,603,16,619
2025 November General,11/4/2025 0:00,ROCKBRIDGE COUNTY,201 - COLLIERSTOWN,173,243,16,3,1,436,664,18,682
2025 November General,11/4/2025 0:00,ROCKBRIDGE COUNTY,202 - HIGHLAND BELLE,530,715,67,15,6,1333,2037,49,2086
2025 November General,11/4/2025 0:00,ROCKBRIDGE COUNTY,203 - VO-TECH,100,105,10,4,1,220,491,32,523
2025 November General,11/4/2025 0:00,ROCKBRIDGE COUNTY,301 - MAURY RIVER,229,457,33,3,,722,1336,55,1391
2025 November General,11/4/2025 0:00,ROCKBRIDGE COUNTY,302 - NATURAL BRIDGE,146,440,26,3,,615,1196,20,1216
2025 November General,11/4/2025 0:00,ROCKBRIDGE COUNTY,303 - FALLING SPRING,97,200,14,5,,316,517,12,529
2025 November General,11/4/2025 0:00,ROCKBRIDGE COUNTY,401 - FAIRFIELD,204,454,28,4,1,691,1113,25,1138
2025 November General,11/4/2025 0:00,ROCKBRIDGE COUNTY,402 - MOUNTAIN VIEW,328,588,62,3,2,983,1761,53,1814
2025 November General,11/4/2025 0:00,ROCKBRIDGE COUNTY,403 - VESUVIUS,58,231,19,3,,311,561,16,577
2025 November General,11/4/2025 0:00,ROCKBRIDGE COUNTY,501 - GOSHEN,33,285,14,1,,333,611,16,627
2025 November General,11/4/2025 0:00,ROCKBRIDGE COUNTY,502 - MEADOWVIEW,257,378,47,2,,684,1195,57,1252
2025 November General,11/4/2025 0:00,ROCKBRIDGE COUNTY,503 - ROCKBRIDGE BATHS,88,306,21,1,4,420,614,11,625
2025 November General,11/4/2025 0:00,ROCKBRIDGE COUNTY,504 - ROCKBRIDGE,218,487,53,4,2,764,1078,19,1097
2025 November General,11/4/2025 0:00,ROCKINGHAM COUNTY,101 - BROADWAY,399,1277,74,9,7,1766,2875,119,2994
2025 November General,11/4/2025 0:00,ROCKINGHAM COUNTY,102 - TIMBERVILLE,134,697,49,7,1,888,1787,73,1860
2025 November General,11/4/2025 0:00,ROCKINGHAM COUNTY,103 - FULKS RUN,175,709,28,7,1,920,1571,34,1605
2025 November General,11/4/2025 0:00,ROCKINGHAM COUNTY,104 - BERGTON,28,281,7,,,316,515,11,526
2025 November General,11/4/2025 0:00,ROCKINGHAM COUNTY,105 - LACEY SPRING,392,999,52,6,2,1451,2369,51,2420
2025 November General,11/4/2025 0:00,ROCKINGHAM COUNTY,106 - LONE PINE,331,962,68,3,1,1365,2188,57,2245
2025 November General,11/4/2025 0:00,ROCKINGHAM COUNTY,201 - SINGERS GLEN,308,798,33,7,2,1148,1728,32,1760
2025 November General,11/4/2025 0:00,ROCKINGHAM COUNTY,202 - EDOM,591,1126,91,9,4,1821,3074,111,3185
2025 November General,11/4/2025 0:00,ROCKINGHAM COUNTY,203 - DAYTON,180,559,28,4,,771,1117,69,1186
2025 November General,11/4/2025 0:00,ROCKINGHAM COUNTY,204 - MT CLINTON,337,857,42,11,1,1248,1893,39,1932
2025 November General,11/4/2025 0:00,ROCKINGHAM COUNTY,205 - SILVER LAKE,652,1018,98,11,6,1785,2986,76,3062
2025 November General,11/4/2025 0:00,ROCKINGHAM COUNTY,301 - KEEZLETOWN,195,584,32,11,,822,1283,26,1309
2025 November General,11/4/2025 0:00,ROCKINGHAM COUNTY,302 - PORT REPUBLIC,256,677,62,6,4,1005,1347,31,1378
2025 November General,11/4/2025 0:00,ROCKINGHAM COUNTY,303 - MELROSE,224,437,31,2,,694,1063,13,1076
2025 November General,11/4/2025 0:00,ROCKINGHAM COUNTY,304 - GROTTOES,178,1084,58,7,4,1331,2298,60,2358
2025 November General,11/4/2025 0:00,ROCKINGHAM COUNTY,305 - MASSANETTA SPRINGS,778,1265,155,32,9,2239,3730,204,3934
2025 November General,11/4/2025 0:00,ROCKINGHAM COUNTY,306 - CROSSROADS,956,1058,246,17,5,2282,3158,78,3236
2025 November General,11/4/2025 0:00,ROCKINGHAM COUNTY,401 - WEST BRIDGEWATER,265,714,51,7,4,1041,1554,38,1592
2025 November General,11/4/2025 0:00,ROCKINGHAM COUNTY,402 - MONTEZUMA,354,782,56,7,4,1203,1758,32,1790
2025 November General,11/4/2025 0:00,ROCKINGHAM COUNTY,403 - MT CRAWFORD,33,152,6,1,,192,302,13,315
